ObjType,ObjName##,Slot##,Opt##,Output Count,Component Name 1,Component Count 1,Component Name 2,Component Count 2,,,,,,,,,,,,
,,,,16,,,,,,,,,,,,,,,,
00,00,00,00,1,corn,1,c_steel,1,c_cloth,1,c_acid,1,c_rubber,1,c_adhesive,1,c_copper,1,bourbon,1
00,00,00,,2,,,,,,,,,,,,,,,,
00,00,,00,3,,,,,,,,,,,,,,,,
00,00,,,6,,,,,,,,,,,,,,,,
00,,00,00,4,,,,,,,,,,,,,,,,
00,,00,,7,,,,,,,,,,,,,,,,
00,,,00,9,,,,,,,,,,,,,,,,
00,,,,12,c_steel,2,,,,,,,,,,,,,,
,00,00,00,5,,,,,,,,,,,,,,,,
,00,00,,8,,,,,,,,,,,,,,,,
,00,,00,10,,,,,,,,,,,,,,,,
,00,,,13,c_steel,,,,,,,,,,,,,,,
,,00,00,11,,,,,,,,,,,,,,,,
,,00,,14,c_steel,,,,,,,,,,,,,,,
,,,00,15,c_steel,,,,,,,,,,,,,,,
